0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | Ritratto | 6
* | Frontespizio | 7
* | Nec manus nuda, nec intellectus ... | 8
* | Triumviris literariis senatoribus amplissimis | 9
* | Joannis Baptistae Nicolai brevis vitae notitia | 11
* | Praefatio | 17
* | Imprimatur | 60
* | Index capitum | 61
* | Errata corrige | 62
* | Nova Analyseos Elementa | 63
* | Illustrazioni | 792
* | Copertina | 800
"
69,PUV0838844_TO0324_39339_000000,"Elementi di cinematica applicata alle arti / esposti da C.I. Giulio","Giulio, Carlo Ignazio","Torino : Stamperia reale",1854,"* | Copertina | 1
* | Frontespizio | 5
* | Torino ... 7 | 10
* | Prefazione | 9
* | Trattato elementare di cinematica applicata alle arti | 15
* | Indice analitico dei capitoli e dei paragrafi | 453
* | Illustrazioni | 475
* | Copertina | 531
"
70,TO0E092085_TO0324_PNI-14146_000002,"Instruzioni intorno l'arte tintoria particolarmente delle lane tradotte dal tedesco di Poerner accresciute con annotazioni di Desmarets, Bertholet e  Giobert... Tomo 2","Giobert, Giovanni Antonio","",,"* | Copertina | 1
* | Frontespizio | 3
* | Parte seconda. De colori composti risultati dalla mescolanza de' primitivi | 5
* | Memoria. Sull'imbiancamento delle sete ... | 216
* | Della tintura del filo, e cotone in rosso ... | 270
* | Osservazioni sopra le maniere di Vogliero ... | 303
* | Indice | 316
* | Copertina | 323
"
71,TO0E039737_TO0324_PNI-1708_000000,"Della possibilita della reale soluzione analitica del caso irreducibile. Riflessioni dell'arciprete Giambatista Nicolai ...","Nicolai, Giovanni Battista","Padova : nella Stamperia del Seminario",1783,"* | Copertina | 1
* | Frontespizio | 5
* | Prefazione | 7
* | Della possibilita della reale soluzione analitica del caso irreducibile | 25
* | Errata corrige | 170
* | Riflessioni sul binomio Newtoniano | 171
* | Noi riformatori dello studio di Padova | 175
* | Copertina | 179
"
72,TO0E092084_TO0324_PNI-14148_000001,"Instruzioni intorno l'arte tintoria particolarmente delle lane tradotte dal tedesco di Poerner accresciute con annotazioni di Desmarets, Bertholet e  Giobert... Tomo 1","Giobert, Giovanni Antonio","",,"* | Copertina | 1
* | Frontespizio | 3
* | Avviso preliminare | 5
* | Parte prima. Dei colori primitivi | 11
* | Copertina | 269
"
73,TO00764613_TO0324_88892_000000,"Fermat / par m. Libri","Libri, Guglielmo","Paris : Imprimerie de H. Fournier et C.",1845,"* | Frontespizio | 1
* | Fermat | 3
"
74,TO00599853_TO0324_35497_000005,"Nuova enciclopedia popolare ovvero Dizionario generale di scienze, lettere, arti, storia, geografia, ecc. ecc. ... Vol. 5","nan","Torino : G. Pomba e comp.",1845,"* | Copertina | 1
* | Occhietto : Nuova enciclopedia popolare | 5
* | Frontespizio | 7
* | Nuova enciclopedia popolare | 9
* | Copertina | 1647
"
75,TO00599855_TO0324_35500_000007,"Nuova enciclopedia popolare ovvero Dizionario generale di scienze, lettere, arti, storia, geografia, ecc. ecc. ... Vol. 7","nan","Torino : G. Pomba e comp.",1847,"* | Copertina | 1
* | Occhietto : Nuova enciclopedia popolare | 5
* | Frontespizio | 7
* | Nuova enciclopedia popolare | 9
* | Copertina | 1083
"
76,TO00599859_TO0324_35503_000009,"Nuova enciclopedia popolare ovvero Dizionario generale di scienze, lettere, arti, storia, geografia, ecc. ecc. ... Vol. 9","nan","Torino : G. Pomba e comp.",1847,"* | Copertina | 1
* | Occhietto : Nuova enciclopedia popolare | 5
* | Frontespizio | 7
* | Nuova enciclopedia popolare | 9
* | Copertina | 1283
"
77,TO00599858_TO0324_35501_000008,"Nuova enciclopedia popolare ovvero Dizionario generale di scienze, lettere, arti, storia, geografia, ecc. ecc. ... Vol. 8","nan","Torino : G. Pomba e comp.",1847,"* | Copertina | 1
* | Occhietto : Nuova enciclopedia popolare | 5
* | Frontespizio | 7
* | Nuova enciclopedia popolare | 9
* | Copertina | 1395
"
78,TO00599854_TO0324_35499_000006,"Nuova enciclopedia popolare ovvero Dizionario generale di scienze, lettere, arti, storia, geografia, ecc. ecc. ... Vol. 6","nan","Torino : G. Pomba e comp.",1846,"* | Copertina | 1
* | Occhietto : Nuova enciclopedia popolare | 5
* | Frontespizio | 7
* | Nuova enciclopedia popolare | 9
* | Copertina | 1083
"
79,TO0E039714_TO0324_PNI-1692_000000,"The doctrine of chances: or, a method of calculating the probabilities of events in play, by A. de Moivre ...","Moivre, Abraham : de ","London : printed for A. Millar, in the Strand",1756,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : To the right honourable the Lord Carpenter | 7
* | Preface | 9
* | Advertisement | 19
* | Errata corrige | 20
* | The introduction | 21
* | The Doctrine of Chances ... | 55
* | Appendix  | 349
* | Copertina  | 371
"
80,RMSE006857_TO0324_PNI-2312_000000,"Petri van Musschenbroek Dissertatio physica experimentalis de magnete Lugduni Batavorum anno 1729 edita nunc vero auditoribus oblata","Musschenbroek, Petrus : van ","Viennae Austriae : typis Joannis Thomae Trattner, Caesareae Regiae Aulae bibliopolae & Univers. typographi",1754,"* | Copertina | 1
* | Occhietto : Dissertatio Physica experimentalis de magnete | 3
* | Frontespizio | 5
* | Praefatio | 7
* | Dissertatio Physica ... | 21
* | Tavole | 291
* | Copertina | 311
"
81,TO0E040370_TO0324_PNI-1959_000000,"Mémoire sur la distribution de l'electricite dans une sphere creuse electrisee par influence; par M. Poisson","Poisson, Simeon Denis","",1814,"* | Mémoire sur la distribution de l'électricité dans une sphére crelise électrisée par influence; par M. Poisson | 1
"
82,BRIE000602_TO0324_PNI-2761_000000,"Ars conjectandi, opus posthumum. Accedit Tractatus de seriebus infinitis, et epistola Gallice scripta De ludo pilae reticularis","Bernoulli, Jakob","Basileae : impensis Thurnisiorum, fratrum",1713,"* | Copertina  | 1
* | Frontespizio | 3
* | Nicolaus Bernoulli | 5
* | Ars conjectandi | 7
* | Occhietto : Tractatus de seriebus infinitis earumque summa finita, et usu in quadraturis spatiorum et rectificationibus curvarum | 251
* | Praefatio | 252
* | Axiomata seu postulata | 253
* | De usu serierum infinitarum in quadraturis spatiorum et rectificationibus curvarum | 277
* | Lettre à un amy, sur les parties du feu de paume | 319
* | Errata corrige | 354
* | Copertina | 357
"
83,RMSE000381_TO0324_PNI-2540_000000,"Explication de Playfair sur la theorie de la terre par Hutton, et examen comparatif des systemes geologiques fondes sur le feu et sur l'eau, par m. Murray; en reponse a l'explication de Playfair: traduits de l'anglais, et accompagnes de notes et de planches, par C.A. Basset ... Premiere [-deuxieme] partie","Playfair, John","a Londres : 14. Great Marlbourough Street, aux depots de livres francais etablis par Bossange et Masson, imprimeurs-libraires a Paris et par Leblanc, imprimeur-libraire de la meme ville",1815,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : Epitre dédicatore a MM. Les Elèves de l'ecole normale | 7
* | Avant-propos du traducteur | 9
* | Avertissement du traducteur | 20
* | Avertissement de l'auteur | 21
* | Table des matières des trois sections | 23
* | Table des matières des notes et additions | 27
* | Table alphabétique des auteurs cités | 37
* | Errata corrige | 39
* | Explication de playfair sur la théorie de la terre par hutton. Introduction | 41
* | Explication de playfair ... | 71
* | Occhietto : Examen comparatif des deux systèmes géologiques, par M. Murray; en réponse a l'explication de palyfair sur la théorie de hutton | 465
* | Préface de l'auteur | 467
* | Table des chapitres de la deuxiéme partie | 470
* | Examen comparatif des deux systèmes géologiques. Introduction | 471
* | Examen comparatif ... | 478
* | Illustrazione | 661
* | Notice du Traducteur sur l'Ile de Staffa, une des Hébrides | 663
* | Illustrazioni | 670
* | Copertina | 675
"
84,TO0E040376_TO0324_PNI-1966_000000,"Mémoire sur la theorie du magnetisme; par M. Poisson. Lu a l'Academie royale des sciences le 2 fevrier 1824","Poisson, Simeon Denis","",1824,"* | Mémoire sur la théorie du magnétisme; par M. Poisson | 1
* | Second mémoire sur la théorie du magnétisme; par M. Poisson | 95
* | Copertina | 145
"
85,UFIE003088_TO0324_PNI-2000_000000,"Commentaires sur la geometrie de m. Descartes. Par le p. Claude Rabuel, de la Compagnie de Jesus","Rabuel, Claude","A Lyon : chez Marcellin Duplain, rue Merciere",1730,"* | Copertina | 1
* | Frontespizio | 7
* | Preface | 9
* | Table pour trouver les Endroits citez | 13
* | Commentaires sur la geometrie de Mr. Descartes | 15
* | Imprimatur | 651
* | Errata corrige | 653
* | Copertina | 659
"
86,TO0E040367_TO0324_PNI-1957_000000,"Mémoire sur les surfaces elastiques; par M. Poisson. Lu le 1er aout 1814","Poisson, Simeon Denis","",1814,"* | Copertina | 1
* | Occhietto : Mémoire sur les surfaces élastiques; par M. Poisson | 5
* | Mémoire sur les surfaces élastiques | 5
"
87,TO0E040533_TO0324_PNI-2054_000000,"Mémoire sur le mouvement de la terre autour de son centre de gravite. Par M. Poisson ..","Poisson, Simeon Denis","",1827,"* | Mémoire sur le mouvement de la terre autour de son centre de gravité, par M. Poisson | 1
* | Note de Mr. ... | 70
* | Copertina | 74
"
88,TO0E041340_TO0324_PNI-2549_000000,"Traité de l'eclairage par E. Peclet, ex professeur des sciences physiques au College Royale de Marseille ...","Peclet, Jean-Claude-Eugene","Paris : a la librairie scientifique et industrielle de Malher et C.ie, passage Dauphine Imprimerie de H. Fournier, rue de Seine, n. 14 ([Parigi]",1827,"* | Copertina | 1
* | Occhietto : Traité de l'éclairage | 5
* | Frontespizio | 7
* | Préface | 9
* | Traité de l'éclairage | 13
* | Addition | 333
* | Errata corrige | 334
* | Table des matiéres | 335
* | Tavole | 337
* | Copertina | 359
"
89,TO0E040524_TO0324_PNI-2049_000000,"Mémoires sur la formule barometrique de la mecanique celeste, et les dispositions de l'atmosphere qui en modifient les proprietes: augmentes d'une instruction elementaire et pratique ... par L. Ramond ...","Ramond de Carbonnieres, Louis Francois Elisabeth","A Clermont-Ferrand : de l'imprimerie de Landriot",1811,"* | Copertina | 1
* | Frontespizio | 5
* | Préface | 7
* | Mémoires sur la formule barométrique ... | 15
* | Table des matières | 283
* | Copertina | 293
"
90,TO0E041302_TO0324_PNI-2536_000000,"Recueil de diverses propositions de geometrie, resolues ou demonstrees par l'analyse algebrique; precede d'un precis du leve des plans; par L. Puissant ...","Puissant, Louis ","Paris : Bachelier, quai des Augustins, n. ",1824,"* | Copertina | 1
* | Occhietto : Recueil de diverses propositions de Géométrie | 5
* | Colophon | 6
* | Frontespizio | 7
* | Dedica : A M. De Laplace, Pair de France, Grand Officier de la Légion-d'Honneur, ... | 9
* | Avant-propos | 11
* | Tables des matières. Trigonométrie appliquée au levé des plans | 15
* | Errata corrige | 26
* | Recueil de diverses propositions de Géométrie ... | 29
* | Tavole | 505
* | Copertina | 519
"
91,LIA0235969_TO0324_50768_000001,"Traite de geodesie, ou exposition des methodes trigonometriques et astronomiques appicables a la mesure de la terre, et a la construction du canevas des cartes topographiques [VOL. 1] / par L. Puissant Vol. 1","Puissant, Louis [1769-1843]","Paris : Bachelier",1842,"* | Copertina | 1
* | Occhietto : Traité de Géodésie | 5
* | Colophon | 6
* | Frontespizio | 7
* | Avant-propos. Troisième édition | 9
* | Table des chapitres  | 13
* | Errata corrige | 20
* | Traité de Géodésie | 21
* | Tavole | 538
* | Copertina | 563
"
92,TO0E040374_TO0324_PNI-1963_000000,"Mémoire sur la distribution de la chaleur dans les corps solides","Poisson, Simeon Denis","",1821,"* | Occhietto : Mémoire sur la distribution de la chaleur dans les corps solides | 1
* | Mémoire sur la distribution de la chaleur dans les corps solides | 3
* | Addition au mémoire précedent, et au mémoire sur la maniére d'exprimer les fonctions par des séries de quantités périodiques | 147
"
93,LIA0235970_TO0324_50769_000002,"Traite de geodesie, ou exposition des methodes trigonometriques et astronomiques appicables a la mesure de la terre, et a la construction du canevas des cartes topographiques [VOL. 2] / par L. Puissant Vol. 2","Puissant, Louis [1769-1843]","Paris : Bachelier",1842,"* | Copertina | 1
* | Occhietto : Traité de géodésie | 5
* | Colophon | 6
* | Frontespizio | 7
* | Table des chapitres du tome deuxiéme | 9
* | Errata corrige | 16
* | Traité de géodésie | 17
* | Appendice | 501
* | Tables astronomiques | 513
* | Tables alphabétique des matiéres | 539
* | Tavole | 545
* | Copertina | 553
"
94,TO0E065588_TO0324_PNI-14224_000000,"A treatise on hydrostatics and hydrodynamics: for the use of students in the university. By Henry Moseley, B.A. of St. John's College","Moseley, Henry","Cambridge : printed by J. Smith, printer to the university for T. Stevenson, Cambridge ... [etc.]",1830,"* | Copertina | 1
* | Frontespizio | 5
* | Preface | 7
* | Contents. Hydrostatics | 9
* | Errata corrige | 16
* | A treatise on Hydrostatics and Hydrodynamics ... | 17
* | Appendix  | 283
* | Tavole | 308
* | Copertina | 318
"
95,TO0E041140_TO0324_PNI-2452_000000,"Abhandlung uber die leichteste und bequemste Methode die Bahn eines Cometen zu berechnen von Wilhelm Olbers ... Mit einem Kupfer und Tafeln","Olbers, Wilhelm","Weimar : im Verlage des Industrie-Comptoirs",1797,"* | Copertina | 1
* | Frontespizio | 3
* | Vorrede | 5
* | Erster abschnitt. Allgmeine Betrachtungen uber die Bestimmbarkeit einer Cometenbahn, und uber die zur Bestimmung derselben vorgeschlagenen Methoden   | 35
* | Zweyter Abschnitt. Ueber einige Gleichungen des ersten und zweyten Grades, die man zur Bestimmung der Cometenbahnen vorgeschlagen hat | 55
* | Dritte Abschnitt. Kurze und leichte Methode, die genaherten Bestimmungsstucke einer Cometenbahn zu finden  | 72
* | Vierte Abschnitt. Verbesserung der gesundenen Elemente einer Cometenbahn | 100
* | Occhietto : Nachricht. Die Tafeln zu Hrn. D. Olbers Abhandlung uber die Bestimmung der Cometenbahn, werden gleich nach der Messe unentgeldlich nachgeliesert | 131
* | Illustrazione | 133
* | Note al metodo del Dottore Obers per calcolare l'orbita delle comete  | 135
* | Tabelle  | 137
* | Erklarung und Gebrach der Tafeln | 203
* | Druckfehler und Verbesserungen | 216
* | Copertina | 219
"
96,TO0E040530_TO0324_PNI-2052_000000,"Mémoire sur la theorie du magnetisme en mouvement; par M. Poisson ...","Poisson, Simeon Denis","",1826,"* | Mémoire sur la théorie du magnétisme en mouvement, par M. Poisson. | 1
* | Imprimatur | 131
"
97,TO0E043224_TO0324_PNI-3335_000000,"The universal preceptor; or, General grammar of arts, sciences, and useful knowledge for the use of schools, with six hundred questions annexed. By the Rev. David Blair; ..","Phillips, Richard ","Philadelphia : published by Edward Parker, n. 178 Market street",1822,"* | Copertina | 1
* | Illustrazione | 8
* | Frontespizio | 9
* | Imprimatur | 10
* | Preface to the second american edition | 11
* | Preface | 12
* | Contents of this volume | 15
* | The universal preceptor ... | 17
* | Copertina | 340
"
98,TO0E040371_TO0324_PNI-1961_000000,"Mémoire sur l'integration des equations lineaires aux differences partielles; par M. Poisson. Lu a l'Academie des Sciences, le 31 Decembre 1821","Poisson, Simeon Denis","",1821,"* | Occhietto : Mémoires sur l'integration des équations aux différences partielles, et sur la distribution de la chaleur dans les corps solides | 1
* | Mémoire sur l'intégration des équations linéaires aux différences partielles, par M. Poisson | 3
* | Second mémoire sur la distribution de la chaleur dans les corps solides, par M. Poisson  | 37
"
99,TO0E040526_TO0324_PNI-2050_000000,"Mémoire sur le calcul numerique des integrales definies. Par M. Poisson ..","Poisson, Simeon Denis","",1826,"* | Copertina | 1
* | Occhietto : Mémoire sur le calcul numerique des integrales définies | 5
* | Mémoire sur le calcul numérique des intégrales définies. Par M. Poisson | 7
"
100,RMSE001904_TO0324_PNI-2058_000000,"Principes de la montre de Mr. Harrison, auec les planches relatiues a la meme montre ...","Harrison, John","A Avignon : chez la veuve Girard & Francois Seguin",1767,"* | Copertina | 1
* | Frontespizio eng | 6
* | Frontespizio fre | 7
* | Préface | 8
* | Remarques sur la découverte de Mr. Harrison | 15
* | Principes de la montre de Mr. Harrison | 28
* | Explication des desseins de Mr. Harrison | 35
* | Avertissement de l'editeur | 51
* | Résultat des observations de Mr. Maskelyne sur la montre de Mr. Harrison | 57
* | Tavole | 73
* | Copertina | 89
"
101,CAGE000297_TO0324_PNI-988_000000,"Sciences et arts","Freret, Nicolas","A Paris chez Dandre, libraire, rue du Cimetiere S. Andre-des-Arts, n. 15 : Obre, rue S. Denis, n. 20, an IV ",1796,"* | Copertina | 1
* | Oeuvres complétes de Fréret. Tome dix-septième | 7
* | Frontespizio | 9
* | Récherches sur l'ancienneté et sur l'origine | 11
* | L'origine du jeu des échecs | 131
* | Réligion des anciens peuples. Mythologie, ou réligion des grecs | 151
* | Table des pièces contenues dans ce volume | 327
